Date Read,Author,Books,Year Published,Pages,Favorite
Nov-87,Robert Roberts,The Classic Slum,1971,238,0
Nov-87,Colette,Break of Day,1928,117,0
Nov-87,André Malraux,Man's Fate,1934,338,0
Nov-87,Jean Racine,Andromache,1672,111,0
Nov-87,"Roger Fisher, William Ury",Getting to Yes,1981,154,0
Dec-87,Ernst Cassirer,Language and Myth,1946,99,0
Dec-87,Mikhail Gorbachev,Perestroika,1987,254,0
Jan-88,Adin Steinsaltz,The Essential Talmud,1976,275,0
Jan-88,William Shakespeare,A Midsummer Night's Dream,1600,256,0
Jan-88,Voltaire,Letters on England,1733,145,0
Jan-88,Tom Wolfe,The Bonfire of the Vanities,1987,659,0
Jan-88,Beowulf Poet,Beowulf,800,115,0
Jan-88,P.G. Wodehouse,The Inimitable Jeeves,1924,224,0
Feb-88,Gene Lees,Singers and the Song,1987,257,0
Feb-88,Mark Twain,Tom Sawyer Abroad and Tom Sawyer Detective,1896,211,0
Feb-88,Fyodor Dostoevsky,Notes from the Underground,1864,158,1
Mar-88,Gretel Ehrlich,The Solace of Open Spaces,1985,131,0
Mar-88,Henry Fielding,Joseph Andrews,1742,298,0
Apr-88,George Holmes,"The Later Middle Ages, 1272--1485",1962,260,0
Apr-88,David J. Garrow,"The F.B.I. and Martin Luther King, Jr.",1981,227,0
Apr-88,George Eliot,Middlemarch,1872,908,0
May-88,John Dos Passos,The 42nd Parallel,1930,414,0
May-88,Anonymous,The Vinland Sagas,1250,105,0
May-88,"Michael J. Malbin, ed.",Money and Politics in the United States,1984,270,0
May-88,Donald T. Regan,For the Record,1988,379,0
Jun-88,Benjamin Franklin,The Autobiography and other writings,1790,260,0
Jun-88,Elia Kazan,A Life,1988,825,0
Jun-88,Francis Parkman,The Oregon Trail,1849,286,0
Jul-88,Arthur Schopenhauer,The Art of Literature,1841,149,0
Jul-88,Gustave Flaubert,November,1842,132,0
Jul-88,Albert Einstein,Sidelights on Relativity,1921,56,0
Jul-88,Confucius,The Analects,500bc,160,0
Jul-88,Yasunari Kawabata,The Lake,1954,160,0
Jul-88,Marcel Proust,On Reading,1905,67,0
Jul-88,Richard Hofstadter,"""The Paranoid Style in American Politics and Other Essays""",1965,315,0
Aug-88,collected, The Poet's Work,1977,294,0
Aug-88,Seneca,Epistulae Morales vol. 1,65,229,0
Aug-88,Vladimir Nabokov,The Portable Nabokov,1968,536,0
Sep-88,Various, Quarrels that have Shaped the Constitution,1962,268,0
Sep-88,Jacques Barzun,A Word or Two Before You Go,1986,177,0
Sep-88,Anthony Trollope,Framely Parsonage,1860,563,0
Nov-88,Ovid,Metamorphoses,5,357,0
Nov-88,Christopher Clapham,Third World Politics,1985,186,0
Dec-88,Richard Russo,The Risk Pool,1988,479,0
Jan-89,Charles Dickens,Bleak House,1853,975,0
Jan-89,P.P. Xahane,Ancient and Classical Art,1967,200,0
Jan-89,Charles Baudelaire,Paris Spleen,1869,108,0
Feb-89,Willa Cather,O Pioneers!,1913,309,0
Feb-89,Nadine Gordimer,The Late Bourgeois World,1966,95,0
Feb-89,Jean Corst,"The Life of Birds, vol. 2",1971,338,0
Mar-89,Voltaire,Philosophical Dictionary,1764,400,0
Mar-89,John Stoye,Europe Unfolding 1648-1688,1969,399,0
Mar-89,E.L. Doctorow,Billy Bathgate,1989,323,0
Apr-89,Howard Hibbard,Bernini,1965,229,0
Apr-89,Yasuji Kirimura,Fundamentals of Buddhism,1977,210,0
Apr-89,Scott Buchanan,Poetry and Mathematics,1929,156,0
May-89,Gore Vidal,Lincoln,1984,657,0
May-89,Gabriel Garcia Marquez,Love in the Time of Cholera,1988,348,0
May-89,Bible,The Bible,1488,520,0
Jul-89,Brenda Maddox,Nora - The Real Life of Molly Bloom,1988,381,1
Jul-89,John Milton,Paradise Lost,1667,339,0
Aug-89,Sanche de Gramont,Epitaph for Kings,1969,428,1
Aug-89,Stephen W. Hawking,A Brief History of Time,1988,182,0
Aug-89,Wallace Stevens,The Necessary Angel,1951,176,0
Sep-89,edited by W.H. Auden,The Portable Greek Reader,1948,726,0
Sep-89,Honoré de Balzac,The Wild Ass's Skin,1831,285,0
Sep-89,Quentin Crisp,Manners from Heaven,1984,138,0
Oct-89,Sigmund Freud,Civilization and Its Discontents,1930,104,1
Oct-89,Michael Harrington,The Other America,1962,221,0
Oct-89,Art Garfunkel,Still Water - Prose Poems,1989,119,0
Oct-89,Umberto Eco,Art and Beauty in the Middle Ages,1959,119,0
Oct-89,Anton Chekhov,The Fiancée and other stories,1890,232,0
Dec-89,Theodore Dreiser,An American Tragedy,1925,828,0
Dec-89,Santoru Izumi,Guidelines to Faith,1980,160,0
Dec-89,Robert Louis Stevenson,Travels with a Donkey,1879,126,0
Dec-89,James D. Watson,The Double Helix,1968,231,0
Dec-89,"Noam Chomsky, Edward S. Herman",Manufacturing Consent,1988,291,0
Jan-90,Anthony Trollope,An Autobiography,1883,367,0
Jan-90,Joseph Campbell (with Bill Moyers),The Power of Myth,1988,231,0
Feb-90,Henry Miller,Quiet Days in Clichy,1940,154,0
Feb-90,Colin McEvedy,The Penguin Atlas of Modern History (to 1815),1972,90,0
Feb-90,J.P. Kenyon,Stuart England,1978,355,0
Feb-90,Michel Foucault,The History of Sexuality vol. 1: An Introduction,1976,159,0
Feb-90,Virginia Woolf,Contemporary Writers,1920,160,0
Feb-90,William Shakespeare,"""Henry V""",1599,123,0
Mar-90,Honoré de Balzac,Lost Illusions,1843,682,0
Mar-90,Ian Frazier,Great Plains,1989,214,0
Apr-90,Anonymous,Tales from the Thousand and One Nights,850bc,407,0
Jul-81,Anne Rice,Interview With the Vampire,1976,346,0
May-90,Charles R. Morris,The Cost of Good Intentions,1980,240,0
Jun-90,Various,The Portable Renaissance Reader,1500,754,0
Jun-90,Jerrold Seigel,Bohemian Paris,1986,397,0
Jun-90,"Paul Magriel, John T. Spike",A Connoisseur's Guide to the Met,1987,235,0
Jul-90,Mark Twain,The Innocents Abroad,1867,492,1
Jul-90,Sylvia Plath,The Bell Jar,1963,216,1
Jul-90,George F. Will,Men at Work,1990,330,0
Jul-90,Edith Hamilton,Mythology,1940,321,0
Jul-90,Ernest Hemingway,A Moveable Feast,1960,211,0
Jul-90,Edith Wharton,Ethan Frome,1911,133,0
Aug-90,J.F. Stone,The Trial of Socrates,1988,230,0
Aug-90,"Daniel Bates, Amal Rassam",Peoples and Cultures of the Middle East,1983,283,0
Aug-90,Aristophanes,"""The Knights,"" ""Peace,"" ""The Birds,"" ""Wealth""",388bc,285,0
Sep-90,Tacitus,The Histories,98,287,0
Sep-90,Carrie Fisher,Surrender the Pink,1990,281,0
Sep-90,John McPhee,Rising from the Plains,1986,214,0
Sep-90,George Eliot,The Lifted Veil,1879,91,0
Nov-90,Thomas Mann,The Magic Mountain,1927,716,1
Nov-90,Fredric Dannen,Hit Men,1990,327,1
Nov-90,The Koran,The Koran,610,435,0
Jan-91,Roderic Gorney,The Human Agenda,1968,575,0
Feb-91,William Thackeray,The History of Henry Esmond,1852,513,0
Feb-91,Rachel Carlson,Silent Spring,1962,297,0
Feb-91,Charles Grodin,It Would Be So Nice If You Weren't Here,1989,308,0
Feb-91,Will and Ariel Durant,The Story of Civilization VIII:,1963,74,0
Feb-91,Will and Ariel Durant,The Story of Civilization VIII: The Age of Louis XIV,1963,74,1
Mar-91,Margaret Mead,Coming of Age in Samoa,1928,197,0
Mar-91,Thomas L. Friedman,From Beirut to Jerusalem,1989,525,1
Apr-91,Daphne du Maurier,Jamaica Inn,1936,247,0
Apr-91,Daisaku Ikeda,The Creative Family,1977,159,0
Apr-91,Marcus Aurelius,The Meditations,177,129,1
May-91,Thomas Szasz,Ceremonial Chemistry,1974,170,0
May-91,Marcel Proust,The Captive,1921,289,1
May-91,Thomas Hardy,Under the Greenwood Tree,1872,241,0
Jun-91,Arthur Koestler,Darkness at Noon,1940,216,0
Jun-91,Herbert Marcuse,Eros and Civilization,1955,274,0
Jul-91,edited by F. Stephen Larrabee,The Two German States and European Security,1988,307,0
Jul-91,Marc Bloch,"Feudal Society, vol. 2",1961,170,0
Aug-91,Oscar Hijuelos,The Mambo Kings Play Songs of Love,1989,407,1
Sep-91,Jim Harrison,Dalva,1988,324,0
Oct-91,William Pfaff,Barbarian Sentiments,1989,189,0
Oct-91,Madame de Lafayette,The Princess of Cleves,1678,168,0
Nov-91,John Updike,"Rabbit, Run",1960,249,1
Nov-91,Paul Fussell,Bad,1991,201,0
Nov-91,William Styron,The Confessions of Nat Turner,1966,429,1
Nov-91,Sigmund Freud,The Future of an Illusion,1927,81,0
Nov-91,A.R. Myers,England in the Late Middle Ages,1952,262,0
Nov-91,"Paul Hohenberg, Lynn Hollen Lees",The Making of Urban Europe 1000--1950,1985,340,0
Dec-91,Leonardo Da Vinci,The Notebooks of Leonardo Da Vinci,1490,392,0
Dec-91,"Joseph Morella, Patricia Barey",Simon and Garfunkel,1991,252,0
Dec-91,Sun Tzu,The Art of War,400bc,149,0
Dec-91,Aleksandr Solzhenitsyn,Rebuilding Russia,1990,106,0
Jan-92,H.G. Wells,A Short History of the World,1922,357,1
Jan-92,Baroness Orczy,The Scarlet Pimpernel,1905,248,0
Feb-92,H.L. Mencken,The Vintage Mencken,1933,246,0
Feb-92,Robert Louis Stevenson,Dr. Jekyll and Mr. Hyde,1886,114,0
Feb-92,William Julius Wilson,The Truly Disadvantaged,1987,164,0
Feb-92,Swami Prabhavananda,The Sermon on the Mount according to Vendanta,1963,126,1
Mar-92,Sigmund Freud,An Outline of Psycho-Analysis,1938,64,0
Mar-92,Edgar Allan Poe,The Narrative of Arthur Gordon Pym,1938,220,0
Mar-92,Andreas Capellanus,The Art of Courtly Love,1180,59,0
Mar-92,William Faulkner,The Sound and the Fury,1931,284,0
Apr-92,Nathaniel Hawthorne,The House of the Seven Gables,1851,245,1
Apr-92,Edmund Burke,Reflections on the Revolution in France,1790,290,0
Apr-92,Nikolai Gogol,"""Diary of a Madman,"" ""The Nose,"" ""The Overcoat""",1834,108,0
Apr-92,William Shakespeare,"""The Trajedy of Julius Caesar""",1599,102,0
Apr-92,"Donald L. Barlett, James B. Steele",America: What Went Wrong?,1992,219,0
Jun-92,Emil Ludwig,The Nile,1936,603,0
Jun-92,Patrick J. Geary,Before France & Germany,1988,231,0
Jun-92,Denis Diderot,The Nun,1760,188,0
Jul-92,Richard Selzer,Mortal Lessons - Notes on the Art of Surgery,1974,217,0
Jul-92,Ben H. Bagdikian,The Media Monopoly,1983,251,0
Jul-92,Cyril Aldred,Egyptian Art,1980,240,0
Jul-92,Nathaniel Hawthorne,The Blithedale Romance,1852,247,0
Jul-92,"Ben Weider, David Hapgood",The Murder of Napoleon,1982,257,0
Aug-92,Elie Wiesel,A Jew Today,1978,247,0
Sep-22,Livy,Rome and the Mediterranean,17,654,0
Sep-92,Oliver Sacks,The Man Who Mistook His Wife for a Hat,1985,233,0
Nov-92,Dorothy Parker,The Portable Dorothy Parker,1962,535,0
Dec-92,Immanuel Kant,The Doctrine of Virtue,1797,167,0
Dec-92,Alec Wilder,American Popular Song,1972,519,0
Dec-92,Lawrence Shainberg,Brain Surgeon,1979,316,0
Dec-92,Lord Chesterfield,Letters,1772,464,0
Dec-92,Camille Paglia,"Sex, Art, and American Culture",1992,287,1
Jan-93,George Eliot,Silas Marner,1861,190,0
Feb-93,Harry Crews,Body,1990,240,0
Feb-93,Hermann Hesse,Demian,1919,179,1
Feb-93,Jean Piaget,Six Psychological Studies,1964,157,0
Feb-93,William Faulkner,"Absalom, Absalom!",1936,306,0
Mar-93,David King Dunaway,Huxley in Hollywood,1989,402,0
Mar-93,Evelyn Waugh,Brideshead Revisited,1945,331,0
Mar-93,Unknown,anthology: The European Security Framework in Transition 1984-92,1992,172,0
Mar-93,Jess Stein,The Random House Dictionary of the English Language,1983,1664,0
Mar-93,Sigmund Freud,On Dreams,1901,114,0
Mar-93,Ernest Hemingway,Green Hills of Africa,1935,295,0
Apr-93,Bruce Chatwin,On the Black Hill,1982,249,0
Apr-93,K.J. Dover,Greek Homosexuality,1978,206,0
Apr-93,David Thomson,England in the Twentieth Century,1965,362,0
May-93,Virginia Woolf,To the Lighthouse,1927,310,0
May-93,Jacques Barzun,The Culture We Deserve,1989,183,0
Jun-93,Allan Gurganus,White People,1990,305,0
Jun-93,Stanley Coren,The Left-Hander Syndrome,1992,281,0
Jul-93,Leo Tolstoy,The Forged Coupon,1904,99,0
Jul-93,Cristina Garcia,Dreaming in Cuban,1992,245,0
Jul-93,Honoré de Balzac,Cousin Pons,1847,334,0
Jul-93,Mark Green,Who Runs Congress?,1972,318,0
Aug-93,Thomas Kessner,The Golden Door,1977,177,0
Aug-93,Don DeLillo,White Noise,1984,326,0
Aug-93,John Stuart Mill,Utilitarianism,1861,79,0
Oct-93,Rudyand Kipling,Kim,1901,270,0
Oct-93,Alan Lightman,Einstein's Dreams,1993,179,0
Nov-93,Jules Michelet,Joan of Arc,1841,143,0
Nov-93,Plato,Early Socratic Dialogues,327bc,375,0
Dec-93,Erich Fromm,Escape from Freedom,1941,303,0
Dec-93,V.S. Pritchett,The Offensive Traveller,1964,241,0
Dec-93,Peter B. High,An Outline of American Literature,1986,241,0
Dec-93,Susan Sontag,AIDS and Its Metaphors,1988,95,0
Dec-93,Françoise Sagan,Bonjour Tristesse,1954,108,0
Dec-93,Sherwood Anderson,"Winesburg, Ohio",1919,247,0
Dec-93,Flannery O'Connor,Mystery and Manners,1969,228,0
Dec-93,Henry James,The Turn of the Screw,1898,160,0
Dec-93,Thornton Wilder,The Cabala,1926,230,0
Dec-93,Donald Matthew,Atlas of Medieval Europe,1983,225,0
Jan-94,Jane Smiley,A Thousand Acres,1991,371,0
Feb-94,Patrick Moore,Basic Astronomy,1967,134,0
Feb-94,Henry Adams,Mont Saint Michael and Chartres,1904,359,0
Mar-94,Emile Zola,Germinal,1885,538,0
Mar-94,Charles Baudelaire,The Prose Poems and La Fanfarlo,1865,116,0
Apr-94,Charles Dickens,The Old Curiosity Shop,1841,720,0
Apr-94,Carrie Fisher,Delusions of Grandma,1994,260,0
Apr-94,Laurence Sterne,A Sentimental Journey,1768,120,0
May-94,Franz Kafka,The Trial,1920,256,1
May-94,Thomas DeQuincy,Confessions of an English Opium Eater,1822,116,0
May-94,Natalie Goldberg,Writing Down the Bones,1986,170,0
May-94,Daniel Defoe,A Journal of the Plague Year,1725,256,1
May-94,Jean Rhys,After Leaving Mr. Mackenzie,1931,191,1
Jun-94,Marcel Proust,The Sweet Cheat Gone,1922,196,0
Jun-94,Dorothy Whitelock,The Beginnings of English Society,1952,243,0
Jul-94,David Rabe,"""Hurlyburly""",1985,160,0
Aug-94,Henry Kissinger,Diplomacy,1994,835,1
Sep-94,Bruce Chatwin,The Songlines,1987,294,0
Sep-94,Gary Zukav,The Seat of the Soul,1989,248,0
Oct-94,Ernest Becker,The Denial of Death,1973,285,0
Oct-94,Laurence Sterne,The Life and Opinions of Tristam Shandy,1767,539,0
Oct-94,Sinclair Lewis,Babbitt,1922,334,0
Dec-94,John King Fairbank,China - A New History,1992,432,0
Dec-94,Toni Morrison,Beloved,1987,275,0
Dec-94,Franz Kafka,Amerika,1927,312,0
Dec-94,Arnold Toynbee & Daisaku Ikeda,Choose Life,1976,359,0
Dec-94,Sherwin B. Nuland,How We Die,1994,269,0
Dec-94,H.B. Acton,Kant's Moral Philosophy,1970,65,0
Dec-94,Jack London,The Call of the Wild,1903,89,0
Dec-94,Gustav Janouch,Conversations with Kafka,1923,201,1
Jan-95,Samuel Butler,The Way of All Flesh,1903,444,1
Feb-95,Meriwether Lewis and William Clark,The Journals of Lewis and Clark,1804,515,0
Feb-95,Peter Kwong,The New Chinatown,1987,187,0
Feb-95,Fyodor Dostoyevsky,The Devils,1871,704,0
Mar-95,Selma H. Fraiberg,The Magic Years,1959,151,0
Mar-95,Sol M. Linowitz,The Making of a Public Man,1985,247,0
Apr-95,Stendhal,The Red and the Black,1830,574,1
Apr-95,J.H. Plumb,England in the Eighteenth Century,1950,214,0
Apr-95,P.D. Ouspensky,The Psychology of Man's Possible Evolution,1934,128,0
Jul-95,Carson McCullers,The Heart is a Lonely Hunter,1940,307,0
Jul-95,Joyce Carol Oates,Black Water,1992,154,0
Jul-95,"editor, Eric L. McKitrick",Slavery Defended,1857,177,0
Jul-95,"Don, Jeanne Elium",Raising a Son,1992,172,0
Aug-95,Patrick O'Brian,Master and Commander,1970,412,0
Sep-95,Russell Banks,Continental Drift,1985,366,0
Sep-95,Vyasa,The Bhagavad Gita,500bc,122,0
Oct-95,Thomas More,Utopia,1516,147,0
Nov-95,E.L. Doctorow,Ragtime,1975,371,0
Nov-95,Martin Heidegger,Early Greek Thinking,1950,58,0
Nov-95,Alice Miller,The Drama of the Gifted Child,1979,136,0
Dec-95,Daniel Goleman,Emotional Intelligence,1995,292,0
Dec-95,Benedict de Spinoza,The Ethics,1663,290,0
Dec-95,Betty Radice,Who's Who in the Ancient World,1971,161,0
Dec-95,Alexander Hamilton and James Madison,The Federalist Papers,1788,487,0
Jan-96,Nathan Glazer and Daniel P. Moynihan,Beyond the Melting Pot,1963,408,0
Jan-96,Louise Ames,Your Five-Year Old,1979,109,0
Jan-96,Daniel Defoe,Robinson Crusoe,1719,314,0
Feb-96,Abul A'La Mawdudi,Towards Understanding Islam,1986,132,0
Feb-96,Stephen Crane,The Red Badge of Courage,1895,169,0
Feb-96,Various,Latin Literature - an Anthology,400,456,0
Feb-96,James Boswell,The Life of Samuel Johnson,1791,342,0
Mar-96,Robert D. Kaplan,Balkan Ghosts,1993,300,1
Mar-96,anonymous,Primary Colors,1996,366,0
Mar-96,William Shakespeare,"""Henry IV, Part One""",1597,115,0
Mar-96,Russell Baker,Growing Up,1982,348,0
Mar-96,Gustave Flaubert,Flaubert in Egypt,1850,222,1
Apr-96,"Robin, Liza, Linda, Tiffany",You'll Never Make Love in this Town Again,1996,251,0
Apr-96,Robert Graves,"I, Claudius",1934,468,0
Apr-96,Stephen Birmingham,"""Our Crowd""",1967,446,0
Jun-96,Peter I. Pressman and Yahsar Hirshaut,Breast Cancer,1992,265,0
Jul-96,Lester C. Thurow,The Future of Capitalism,1996,327,0
Jul-96,Honoré de Balzac,A Murky Business,1841,223,0
Jul-96,Blaise Pascal,Pensées,1661,204,0
Aug-96,Deepak Chopra,Quantum Healing,1989,273,0
Aug-96,Maxim Gorky,My Childhood,1913,451,0
Aug-96,Paul Theroux,Riding the Iron Rooster,1988,188,0
Aug-96,René Descartes,Discourse on Method and The Meditations,1637,188,0
Aug-96,Deborah Tannen,You Just Don't Understand,1990,298,0
Sep-96,Pliny the Elder,Natural History,76,385,0
Sep-96,James Clavell,Shogun,1975,1152,0
Oct-96,Xenophon,Conversations with Socrates,401bc,359,0
Dec-96,Michael Herr,Dispatches,1978,278,0
Dec-96,H.G. Wells,The Invisible Man,1897,139,0
Jan-97,David Baldacci,Absolute Power,1996,505,0
Mar-97,Simone DeBeauvoir,The Second Sex,1952,732,0
Apr-97,"Henry Fielding, Daniel Defoe",Jonathan Wild,1743,290,0
Apr-97,Mary Karr,The Liars' Club,1995,320,0
Apr-97,Robin Dunbar,"Grooming, Gossip, and the Evolution of Language",1996,230,0
May-97,G.K. Chesterton,The Club of Queer Trades,1905,126,0
May-97,Bryce Lyon,The Origins of the Middle Ages,1972,87,0
May-97,Antoine de Saint Exupery,Night Flight,1932,87,0
Jun-97,Charles and Mary Lamb,Tales from Shakespeare,1807,313,1
Jun-97,Sir Thomas Malory,"Le Morte D'Arthur, vol. 1 book I-VII",1485,327,0
Jun-97,Alcoholics Anonymous,Twelve Steps and Twelve Traditions,1952,192,0
Jul-97,Don DeLillo,Mao II,1991,241,0
Jul-97,Jules Verne,Around the World in Eighty Days,1873,163,0
Aug-97,Daniel Johan Goldhagen,Hitler's Willing Executioners,1996,466,0
Jul-97,Peter Gay,The Enlightenment - The Science of Freedom,1969,568,0
Aug-97,Harry Crews,A Feast of Snakes,1976,177,0
Sep-97,Jean-Jacques Rousseau,Émile,1760,568,0
Sep-97,Hermann Hesse,Narcissus and Goldmund,1930,312,0
Oct-97,"Aristotle, Horace",Classical Literary Criticism,10bc,80,0
Oct-97,Ernest Hemingway,"Fiesta, The Sun Also Rises",1927,206,0
Oct-97,Keith B. Richburg,Cut of America,1997,254,1
Nov-97,Lincoln Steffens,The Shame of the Cities,1904,222,0
Nov-97,Choderlos DeLaclos,Les Liaisons Dangereuses,1782,412,0
Dec-97,Jonathan Harr,A Civil Action,1995,496,0
Dec-97,Harper Lee,To Kill a Mockingbird,1960,281,0
Dec-97,David Denby,Great Books,1996,463,1
Jan-98,Garrison Keillor,Lake Wobegon Days,1985,341,0
Jan-98,Barry Miles,Paul McCartney - Many Years from Now,1997,617,0
Jan-98,Horace,Satires and Epistles,18bc,179,0
Mar-98,E. Annie Proulx,The Shipping News,1993,337,0
Mar-98,Allan Bloom,The Closing of the American Mind,1987,382,0
Mar-98,Niccolò Machiavelli,The Prince,1514,96,0
Apr-98,Alexis De Tocqueville,Democracy in America,1835,317,0
Apr-98,Frank McCourt,Angela's Ashes,1996,426,0
Apr-98,Susanna Moore,my old sweetheart,1982,211,0
Apr-98,Robert Hughes,Culture of Complaint,1993,204,0
May-98,Patrick Suskind,Perfume,1985,263,1
May-98,Victoria Kingston,Simon and Garfunkel - The Definitive Biography,1996,287,0
May-98,John Locke,The Second Treatise of Government,1690,155,0
May-98,Plato,Phaedrus,375bc,48,0
Jun-98,Charles Dickens,Barnaby Rudge,1841,766,0
Jun-98,Philip Roth,Zuckerman Unbound,1981,156,0
Jun-98,Jeffrey Archer,A Twist in the Tale - 4 short stories,1988,113,0
Jul-98,S.T. Bindoff,Tudor England,1950,309,0
Jul-98,John O'Hara,Appointment in Samarra,1934,240,0
Aug-98,Ralph Ellison,Invisible Man,1952,469,1
Aug-98,A.S. Byatt,The Matisse Stories,1993,128,0
Sep-98,Giovanni Boccaccio,The Decameron,1350,296,0
Sep-98,Edward W. Said,Representations of the Intellectual,1993,132,0
Sep-98,Robert Graves,The Greek Myths: 1,1955,197,0
Sep-98,Peter and Linda Murray,The Art of the Renaissance,1963,278,0
Sep-98,Emmanuel Le Roy Ladurie,The Beggar and the Professor,1995,351,0
Oct-98,Richard Causton,The Buddha in Daily Life,1988,294,0
Oct-98,Mitch Albom,Tuesday with Morrie,1997,192,0
Nov-98,D.H. Lawrence,Sons and Lovers,1913,484,1
Nov-98,Alessandro Baricco,Silk,1997,91,0
Nov-98,Morris Goldstein,"The Asian Financial Crisis: Causes, Cures, and Systemic Implications",1998,67,0
Nov-98,Jimmy Webb,Tunesmith,1998,423,0
Dec-98,Henry James,The Golden Bowl,1904,555,0
Jan-99,Jean Rhys,Quartet,1928,186,0
Jan-99,Edward W. Said,Covering Islam,"1,981",195,0
Jan-99,Jorge Luis Borges,Other Inquisitions,1952,187,0
Jan-99,Bill Gates,The Road Ahead,1996,322,0
Feb-99,Arthur Golden,Memoirs of a Geisha,1997,428,1
Mar-99,Frank R. Wilson,The Hand,1998,338,0
Apr-99,Daniel DeFoe,A Tour Through the Whole Island of Great Britain,1724,708,0
Apr-99,Russell Banks,Cloudsplitter,1998,758,1
May-99,Robert Wright,The Moral Animal,1994,379,0
May-99,P.G. Wodehouse,French Leave,1956,206,0
Jun-99,Marcel Proust,The Past Recaptured,1922,272,0
Jun-99,John Hersey,Hiroshima,1946,152,0
Jun-99,John Stuart Mill,On Liberty,1859,187,0
Jul-99,Philip Roth,American Pastoral,1997,423,0
Jul-99,Dante Alighieri,Paridiso,1308,150,0
Jul-99,Jacob A. Riis,How The Other Half Lives,1890,227,0
Aug-99,Colin Bateman,Cycle of Violence,1995,261,0
Aug-99,Fernand Braudel,The Identity of France,1985,375,0
Sep-99,Sinclair Lewis,It Can't Happen Here,1935,331,0
Sep-99,Jason Goodwin,Lords of the Horizons - A History of the Ottoman Empire,1998,332,0
Sep-99,Marilyn Vos Savant,The World's Most Famous Math Problem,1993,76,0
Sep-99,Fred Goodman,The Mansion on the Hill,1997,387,0
Oct-99,Daisaku Ikeda,Toward a Culture of Peace: A Cosmic View,1999,38,0
Oct-99,"Dan Kindlon, Michael Thompson",Raising Cain,1999,267,1
Nov-99,Dava Sobol,Longitude,1995,175,0
Nov-99,Søren Kierkegaard,Fear and Trembling,1843,147,0
Dec-99,Sophocles,"""Antigone""",441bc,48,0
Dec-99,Bernie Brillstein,Where Did I Go Right?,1999,375,0
Dec-99,Richard Dawkins,The Selfish Gene,1976,266,0
Jan-00,A.J.P. Taylor,The Struggle for Mastery in Europe - 1848 - 1918,1954,586,0
Jan-00,Alfred Lansing,Endurance - Shackleton's Incredible Voyage,1959,280,0
Feb-00,Euripides,"""Andromache""",425bc,47,0
Mar-00,Samuel Butler,Erewhon,1871,260,0
Mar-00,George Stephanopoulos,All Too Human,1999,448,0
Apr-00,Henry Fielding,Tom Jones,1749,822,0
Apr-00,John Rechy,City of Night,1963,380,0
May-00,Peter Gay,My German Question,1998,212,0
May-00,Zora Neale Hurston,Their Eyes Were Watching God,1937,199,1
May-00,Mark Twain,The Mysterious Stranger,1906,114,0
May-00,Jhumpa Lahiri,Interpreter of Maladies,1999,198,0
Jun-00,John Steinbeck,The Grapes of Wrath,1939,464,0
Jun-00,Michael Lewis,The New New Thing,2000,272,0
Aug-00,Jacques Barzun,From Dawn to Decadence,2000,802,1
Aug-00,Samuel Butler,Alps & Sanctuaries,1881,336,0
Aug-00,Alexander Dumas,The Three Musketeers,1844,592,0
Sep-00,Samuel Eliot Morison,"Christopher Columbus, Mariner",1942,160,0
Sep-00,Madame de Lafayette,The Princess of Cleves,1677,288,0
Oct-00,Tom Wolfe,A Man in Full,1998,742,0
Oct-00,John Milton,Samson Agonistes ,1671,170,0
Oct-00,George Kubler,The Shape of Time,1962,136,0
Nov-00,Jakob Walter,The Diary of a Napoleonic Foot Soldier,1830,208,1
Nov-00,Stendhal,Love,1819,336,0
Dec-00,Sir Harold Nicolson,Diplomacy,1939,151,0
Dec-00,William Hazlitt,Liber Amoris ,1823,112,0
Dec-00,Ida M. Tarbell,The History of the Standard Oil Company,1903,200,0
Jan-01,Adolph Hitler,Mein Kampf ,1926,384,0
Jan-01,Honore de Balzac,The Physiology of Marriage,1824,358,0
Jan-01,Saul Bellow,Henderson the Rain King,1958,341,0
Jan-01,Dorothy L. Sayers,The Mind of the Maker,1941,229,0
Feb-01,Christine Hobson,The World of the Pharoahs,1987,255,0
Mar-01,"Horatio Alger, Jr.",Ragged Dick ,1868,120,0
Mar-01,Henry Kissinger,A World Restored,1957,535,0
Apr-01,Honore de Balzac,The Chouans ,1827,238,0
Apr-01,Tom King,The Operator ,2000,690,0
May-01,Lord Byron,The Selected Letters of Lord Byron,1798,276,0
Jun-01,Jean-Jacques Rousseau,La Nouvelle Heloise,1758,728,0
Jun-01,Walter Bagehot,Physics and Politics,1872,100,0
Jul-01,Dan O'Brien,The Rites of Autumn,1988,192,0
Aug-01,"Michael E. Porter, Hirotaka Takeuchi, Mariko Sakakibara",Can Japan Compete?,2000,224,0
Aug-01,Sarah Faunce,Courbet,1993,245,0
Sep-01,Virginia Woolf,The Waves ,1931,297,0
Oct-01,Peter Paret,Understanding War ,1992,252,0
Oct-01,P. G. Wodehouse,Jeeves in the Morning,1946,272,0
Nov-01,Theodore Dreiser,Sister Carrie ,1900,557,0
Dec-01,Benjamin R. Barber,Jihad vs. McWorld,1995,432,0
Dec-01,J.K. Rowling,Harry Potter and the Sorcerer's Stone,1997,223,0
Dec-01,Stephen Hawking,The Universe in a Nutshell,2001,216,0
Dec-01,Artie Shaw,The Trouble with Cinderella,1952,432,0
Jan-02,Paramahansa Yogananda,Autobiography of a Yogi,1946,576,0
